channel,hi,lo,method,payload_bitrate_bps,psnr_full
clean,33.32365482032115,29.617638183367912,B0d,512000.0,31.53760715533356
clean,33.02702992780319,29.26511165550549,B3,512000.0,31.183555513102544
clean,33.32365482032115,29.617638183367912,B4,512000.0,31.53760715533356
clean,31.32162087659719,27.802704016076365,B4t,384000.0,29.62073799795876
clean,30.25917559673174,26.24878174490817,P,384000.0,28.316649016155488
mild,33.32365482032115,29.617638183367912,B0d,512000.0,31.53760715533356
mild,33.02702992780319,29.26511165550549,B3,512000.0,31.183555513102544
mild,33.32365482032115,29.617638183367912,B4,512000.0,31.53760715533356
mild,31.32162087659719,27.802704016076365,B4t,384000.0,29.62073799795876
mild,30.25917559673174,26.24878174490817,P,384000.0,28.316649016155488
moderate,30.81351929838942,26.707767552507363,B0d,512000.0,28.743769861629403
moderate,33.03010363359621,29.268678933819704,B3,512000.0,31.18870648907266
moderate,29.787023698739947,25.927036190386406,B4,512000.0,27.86005072756061
moderate,30.85844420908363,27.26014101601652,B4t,384000.0,29.103142225433466
moderate,29.83606627777993,25.764306618838383,P,384000.0,27.863196416129753
bursty,26.276476666340212,22.189005443081705,B0d,512000.0,24.169917486850377
bursty,33.025748849024396,29.255749014507842,B3,512000.0,31.17748940169637
bursty,26.22033245314617,22.162542544976652,B4,512000.0,24.135300394766055
bursty,28.69887400741146,24.902333690799267,B4t,384000.0,26.807865782839578
bursty,27.945748306664502,23.805503150889464,P,384000.0,25.907045444354626
harsh,nan,nan,B0d,512000.0,nan
harsh,nan,nan,B3,512000.0,nan
harsh,nan,nan,B4,512000.0,nan
harsh,nan,nan,B4t,384000.0,nan
harsh,nan,nan,P,384000.0,nan
